日期,销量
2017-01-01,359
2017-01-02,383
2017-01-03,357
2017-01-04,349
2017-01-05,337
2017-01-06,348
2017-01-07,416
2017-01-08,335
2017-01-09,383
2017-01-10,409
2017-01-11,409
2017-01-12,432
2017-01-13,370
2017-01-14,407
2017-01-15,440
2017-01-16,453
2017-01-17,469
2017-01-18,390
2017-01-19,483
2017-01-20,443
2017-01-21,421
2017-01-22,495
2017-01-23,467
2017-01-24,507
2017-01-25,474
2017-01-26,445
2017-01-27,451
2017-01-28,465
2017-01-29,446
2017-01-30,459
2017-01-31,466
2017-02-01,519
2017-02-02,535
2017-02-03,473
2017-02-04,569
2017-02-05,563
2017-02-06,529
2017-02-07,580
2017-02-08,503
2017-02-09,532
2017-02-10,526
2017-02-11,591
2017-02-12,538
2017-02-13,607
2017-02-14,573
2017-02-15,536
2017-02-16,628
2017-02-17,569
2017-02-18,566
2017-02-19,595
2017-02-20,585
2017-02-21,598
2017-02-22,565
2017-02-23,590
2017-02-24,660
2017-02-25,575
2017-02-26,632
2017-02-27,592
2017-02-28,638
2017-03-01,657
2017-03-02,617
2017-03-03,608
2017-03-04,640
2017-03-05,669
2017-03-06,714
2017-03-07,639
2017-03-08,706
2017-03-09,635
2017-03-10,655
2017-03-11,742
2017-03-12,724
2017-03-13,680
2017-03-14,685
2017-03-15,707
2017-03-16,671
2017-03-17,685
2017-03-18,697
2017-03-19,754
2017-03-20,692
2017-03-21,759
2017-03-22,710
2017-03-23,778
2017-03-24,773
2017-03-25,783
2017-03-26,745
2017-03-27,778
2017-03-28,738
2017-03-29,785
2017-03-30,764
2017-03-31,826
2017-04-01,847
2017-04-02,766
2017-04-03,849
2017-04-04,839
2017-04-05,788
2017-04-06,797
2017-04-07,857
2017-04-08,877
2017-04-09,795
2017-04-10,801
2017-04-11,834
2017-04-12,876
2017-04-13,897
2017-04-14,892
2017-04-15,839
2017-04-16,920
2017-04-17,864
2017-04-18,929
2017-04-19,913
2017-04-20,849
2017-04-21,865
2017-04-22,945
2017-04-23,911
2017-04-24,895
2017-04-25,890
2017-04-26,953
2017-04-27,944
2017-04-28,890
2017-04-29,984
2017-04-30,941
2017-05-01,986
2017-05-02,971
2017-05-03,985
2017-05-04,987
2017-05-05,1019
2017-05-06,1013
2017-05-07,941
2017-05-08,979
2017-05-09,954
2017-05-10,1019
2017-05-11,996
2017-05-12,1012
2017-05-13,986
2017-05-14,1016
2017-05-15,995
2017-05-16,1048
2017-05-17,1075
2017-05-18,987
2017-05-19,1038
2017-05-20,1072
2017-05-21,1042
2017-05-22,1005
2017-05-23,1065
2017-05-24,1029
2017-05-25,1047
2017-05-26,1053
2017-05-27,1086
2017-05-28,1069
2017-05-29,1081
2017-05-30,1056
2017-05-31,1089
2017-06-01,1135
2017-06-02,1096
2017-06-03,1078
2017-06-04,1136
2017-06-05,1082
2017-06-06,1083
2017-06-07,1133
2017-06-08,1189
2017-06-09,1166
2017-06-10,1154
2017-06-11,1168
2017-06-12,1154
2017-06-13,1205
2017-06-14,1219
2017-06-15,1156
2017-06-16,1202
2017-06-17,1229
